Bank,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementDate,DisbursementGross,BalanceGross,GrAppv,SBA_Appv
2.0,1082044800.0,1072886400.0,84.0,6.0,1.0,0.0,6.0,1.0,1.0,1.0,0.0,1083254400.0,50000.0,0.0,50000.0,25000.0
2.0,1187884800.0,1167580800.0,60.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1188489600.0,23000.0,0.0,23000.0,11500.0
23.0,452448000.0,441734400.0,180.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,460742400.0,130000.0,0.0,130000.0,130000.0
24.0,726681600.0,725817600.0,96.0,80.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,744048000.0,350000.0,0.0,500000.0,400000.0
7.0,1179849600.0,1167580800.0,30.0,13.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1183132800.0,50000.0,0.0,50000.0,25000.0
25.0,1052668800.0,1041350400.0,12.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1054310400.0,50000.0,0.0,50000.0,25000.0
26.0,1244736000.0,1230739200.0,60.0,3.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1246291200.0,135000.0,0.0,135000.0,67500.0
27.0,1122912000.0,1104508800.0,66.0,8.0,1.0,0.0,8.0,0.0,1.0,0.0,0.0,1125417600.0,100000.0,0.0,100000.0,50000.0
28.0,1123171200.0,1104508800.0,90.0,9.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1135958400.0,100000.0,0.0,100000.0,85000.0
2.0,1144339200.0,1136044800.0,84.0,6.0,1.0,0.0,6.0,0.0,1.0,1.0,0.0,1149004800.0,273973.0,0.0,40000.0,20000.0
2.0,1124208000.0,1104508800.0,84.0,6.0,1.0,0.0,6.0,0.0,1.0,1.0,0.0,1138636800.0,32030.0,0.0,33000.0,16500.0
29.0,485020800.0,473356800.0,72.0,12.0,2.0,0.0,0.0,36995.0,0.0,0.0,0.0,488390400.0,70000.0,0.0,70000.0,63000.0
30.0,1205769600.0,1199116800.0,72.0,1.0,1.0,7.0,7.0,0.0,1.0,0.0,0.0,1206892800.0,5000.0,0.0,5000.0,4250.0
11.0,426441600.0,410198400.0,132.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,430675200.0,130000.0,0.0,130000.0,117000.0
18.0,1199980800.0,1199116800.0,84.0,1.0,2.0,15.0,12.0,0.0,1.0,1.0,0.0,1204214400.0,27898.0,0.0,25000.0,12500.0
31.0,861811200.0,852048000.0,33.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,866131200.0,100000.0,0.0,100000.0,80000.0
32.0,1159286400.0,1136044800.0,51.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1167494400.0,150000.0,0.0,150000.0,127500.0
33.0,1140537600.0,1136044800.0,68.0,6.0,1.0,0.0,6.0,0.0,1.0,1.0,0.0,1143734400.0,100000.0,0.0,100000.0,50000.0
34.0,983721600.0,978278400.0,60.0,15.0,1.0,5.0,15.0,1.0,1.0,1.0,0.0,988560000.0,50000.0,0.0,50000.0,25000.0
35.0,1201104000.0,1199116800.0,17.0,7.0,1.0,3.0,7.0,0.0,1.0,0.0,0.0,1204214400.0,69800.0,0.0,69800.0,34900.0
36.0,1269532800.0,1262275200.0,84.0,150.0,1.0,0.0,150.0,0.0,1.0,0.0,0.0,1272643200.0,550000.0,0.0,550000.0,495000.0
37.0,981475200.0,978278400.0,40.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,950630400.0,45000.0,0.0,45000.0,38250.0
38.0,761241600.0,757353600.0,106.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,791481600.0,375000.0,0.0,375000.0,318750.0
39.0,1191168000.0,1199116800.0,0.0,5.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,1204214400.0,114250.0,0.0,50000.0,25000.0
11.0,743097600.0,725817600.0,67.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,745603200.0,200000.0,0.0,200000.0,170000.0
27.0,1114617600.0,1104508800.0,27.0,4.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,1117468800.0,52000.0,0.0,52000.0,26000.0
3.0,1291651200.0,1293811200.0,84.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1293811200.0,19500.0,0.0,15000.0,7500.0
40.0,765820800.0,757353600.0,48.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,767635200.0,18000.0,0.0,18000.0,16200.0
11.0,704390400.0,694195200.0,120.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,712512000.0,152000.0,0.0,152000.0,121600.0
41.0,1050336000.0,1041350400.0,66.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1062259200.0,105000.0,0.0,105000.0,89250.0
42.0,1166457600.0,1167580800.0,84.0,12.0,1.0,0.0,12.0,0.0,1.0,1.0,0.0,1167494400.0,229495.0,0.0,80000.0,40000.0
43.0,685036800.0,662659200.0,120.0,15.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,696787200.0,868056.0,0.0,868056.0,564236.0
44.0,661104000.0,662659200.0,67.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,672940800.0,50000.0,0.0,50000.0,42500.0
31.0,1176652800.0,1167580800.0,30.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1188489600.0,89205.0,0.0,35000.0,17500.0
45.0,812044800.0,788889600.0,84.0,3.0,2.0,0.0,0.0,77020.0,0.0,0.0,1.0,815068800.0,85000.0,0.0,85000.0,76500.0
46.0,795801600.0,788889600.0,12.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,799171200.0,95000.0,0.0,95000.0,71250.0
11.0,675878400.0,662659200.0,26.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,680889600.0,320000.0,0.0,320000.0,272000.0
11.0,1152633600.0,1136044800.0,11.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,1154275200.0,90294.0,0.0,40000.0,20000.0
47.0,1192550400.0,1199116800.0,44.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1196352000.0,50535.0,0.0,25000.0,12500.0
2.0,1014912000.0,1009814400.0,84.0,7.0,1.0,2.0,7.0,1.0,1.0,1.0,0.0,1020096000.0,61500.0,0.0,36000.0,18000.0
48.0,1116172800.0,1104508800.0,33.0,6.0,1.0,0.0,6.0,1.0,1.0,1.0,0.0,1117468800.0,53402.0,0.0,25000.0,12500.0
7.0,1119196800.0,1104508800.0,50.0,15.0,1.0,0.0,15.0,1.0,1.0,0.0,0.0,1122739200.0,50000.0,0.0,50000.0,25000.0
27.0,1108396800.0,1104508800.0,26.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1114790400.0,51026.0,0.0,30000.0,15000.0
49.0,1323014400.0,1325347200.0,24.0,1.0,2.0,4.0,2.0,0.0,1.0,0.0,0.0,1323014400.0,15000.0,0.0,15000.0,7500.0
18.0,1148313600.0,1136044800.0,61.0,3.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,1149004800.0,59623.0,0.0,60000.0,30000.0
27.0,1185292800.0,1167580800.0,44.0,4.0,2.0,0.0,4.0,0.0,1.0,1.0,0.0,1188489600.0,7000.0,0.0,7000.0,3500.0
27.0,1089302400.0,1072886400.0,84.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1093881600.0,20175.0,0.0,5000.0,2500.0
2.0,874512000.0,852048000.0,12.0,9.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1033315200.0,75000.0,0.0,75000.0,37500.0
11.0,1160409600.0,1167580800.0,5.0,5.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,1162224000.0,25252.0,0.0,25000.0,12500.0
50.0,806169600.0,788889600.0,32.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,815068800.0,460000.0,0.0,460000.0,391000.0
51.0,847209600.0,852048000.0,84.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,854640000.0,41000.0,0.0,41000.0,32800.0
18.0,1180972800.0,1167580800.0,71.0,6.0,1.0,0.0,6.0,1.0,1.0,1.0,0.0,1185811200.0,109701.0,0.0,50000.0,25000.0
52.0,810921600.0,788889600.0,306.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,823017600.0,319173.0,0.0,319173.0,239380.0
3.0,1222272000.0,1199116800.0,22.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1225382400.0,81300.0,0.0,81300.0,40650.0
21.0,1155571200.0,1136044800.0,62.0,8.0,1.0,0.0,8.0,22470.0,1.0,1.0,0.0,1159545600.0,69247.0,0.0,50000.0,25000.0
11.0,1147881600.0,1136044800.0,16.0,6.0,1.0,0.0,6.0,1.0,1.0,1.0,0.0,1159545600.0,60803.0,0.0,25000.0,12500.0
18.0,859824000.0,852048000.0,37.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,862416000.0,150000.0,0.0,150000.0,112500.0
2.0,1173024000.0,1167580800.0,36.0,5.0,2.0,0.0,5.0,0.0,2.0,1.0,0.0,1180540800.0,70000.0,0.0,35000.0,17500.0
53.0,838742400.0,820425600.0,85.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,844790400.0,100000.0,0.0,100000.0,80000.0
18.0,1174320000.0,1167580800.0,84.0,2.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,1175270400.0,25000.0,0.0,25000.0,12500.0
54.0,1225296000.0,1230739200.0,7.0,6.0,2.0,13.0,6.0,0.0,1.0,1.0,0.0,1230652800.0,19000.0,0.0,10000.0,5000.0
55.0,1107446400.0,1104508800.0,240.0,5.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1109520000.0,175000.0,0.0,175000.0,131250.0
7.0,1114963200.0,1104508800.0,38.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1117468800.0,75000.0,0.0,75000.0,37500.0
42.0,500054400.0,504892800.0,86.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,502905600.0,110000.0,0.0,110000.0,99000.0
27.0,1169395200.0,1167580800.0,84.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1172592000.0,81000.0,0.0,70000.0,35000.0
56.0,1281888000.0,1262275200.0,120.0,7.0,2.0,1.0,7.0,0.0,1.0,0.0,0.0,1283270400.0,246497.0,0.0,246497.0,184873.0
57.0,1040227200.0,1041350400.0,120.0,36.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1049040000.0,500000.0,0.0,500000.0,375000.0
58.0,411148800.0,410198400.0,120.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,415209600.0,418400.0,0.0,418400.0,292880.0
2.0,1190649600.0,1167580800.0,76.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1193760000.0,25000.0,0.0,25000.0,12500.0
18.0,1152115200.0,1136044800.0,66.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1154275200.0,44034.0,0.0,25000.0,12500.0
18.0,1151510400.0,1136044800.0,37.0,8.0,1.0,0.0,8.0,0.0,1.0,1.0,0.0,1151596800.0,137842.0,0.0,50000.0,25000.0
31.0,745603200.0,725817600.0,60.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,751996800.0,105000.0,0.0,105000.0,84000.0
59.0,858268800.0,852048000.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,872956800.0,55000.0,0.0,55000.0,44000.0
2.0,889718400.0,883584000.0,300.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,893865600.0,459000.0,0.0,459000.0,344250.0
60.0,1141315200.0,1136044800.0,4.0,3.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,1143734400.0,80740.0,0.0,20000.0,10000.0
27.0,1103126400.0,1104508800.0,84.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1141056000.0,12500.0,0.0,12500.0,6250.0
30.0,1171209600.0,1167580800.0,93.0,88.0,1.0,2.0,88.0,0.0,1.0,0.0,0.0,1172592000.0,2000000.0,0.0,2000000.0,1500000.0
19.0,1159372800.0,1136044800.0,65.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1162224000.0,50000.0,0.0,50000.0,42500.0
61.0,1253721600.0,1230739200.0,5.0,4.0,1.0,0.0,4.0,0.0,2.0,1.0,0.0,1254326400.0,99948.0,0.0,50000.0,25000.0
27.0,1151251200.0,1136044800.0,52.0,7.0,1.0,1.0,8.0,0.0,1.0,0.0,0.0,1154275200.0,100000.0,0.0,100000.0,50000.0
62.0,1100448000.0,1104508800.0,96.0,6.0,2.0,0.0,0.0,15100.0,1.0,0.0,0.0,1104422400.0,290000.0,0.0,290000.0,217500.0
27.0,1101398400.0,1104508800.0,59.0,5.0,2.0,0.0,5.0,1.0,1.0,1.0,0.0,1104422400.0,59200.0,0.0,50000.0,25000.0
7.0,1107964800.0,1104508800.0,69.0,3.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,1109520000.0,35000.0,0.0,35000.0,17500.0
6.0,1094140800.0,1072886400.0,72.0,3.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,1096473600.0,25000.0,0.0,25000.0,12500.0
37.0,1153411200.0,1136044800.0,84.0,3.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,1154275200.0,100031.0,0.0,30000.0,15000.0
27.0,1107878400.0,1104508800.0,84.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1112198400.0,39818.0,0.0,20000.0,10000.0
27.0,1013011200.0,1009814400.0,30.0,5.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,1017504000.0,35000.0,0.0,35000.0,17500.0
27.0,1037808000.0,1041350400.0,84.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1230652800.0,5000.0,0.0,5000.0,2500.0
63.0,541267200.0,536428800.0,213.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,543600000.0,350000.0,0.0,350000.0,297500.0
6.0,1186675200.0,1167580800.0,84.0,10.0,1.0,1.0,11.0,0.0,1.0,1.0,0.0,1191081600.0,94080.0,0.0,35000.0,17500.0
18.0,1177257600.0,1167580800.0,34.0,3.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1177862400.0,25000.0,0.0,25000.0,12500.0
64.0,774547200.0,757353600.0,180.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,775584000.0,175000.0,0.0,175000.0,131250.0
33.0,1122393600.0,1104508800.0,59.0,4.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,1125417600.0,100000.0,0.0,100000.0,50000.0
65.0,629913600.0,631123200.0,180.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,641404800.0,198198.0,0.0,210000.0,178500.0
6.0,1165766400.0,1167580800.0,30.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1167494400.0,130086.0,0.0,50000.0,25000.0
66.0,426960000.0,410198400.0,290.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,471024000.0,239000.0,0.0,239000.0,239000.0
67.0,1180972800.0,1167580800.0,120.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1183132800.0,5000.0,0.0,5000.0,4250.0
11.0,802022400.0,788889600.0,187.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,805305600.0,205000.0,0.0,205000.0,153750.0
11.0,1243958400.0,1230739200.0,65.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1246291200.0,38880.0,0.0,20000.0,10000.0
68.0,1007481600.0,1009814400.0,1.0,22.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1012406400.0,199257.0,0.0,200000.0,150000.0
7.0,1117641600.0,1104508800.0,84.0,5.0,1.0,0.0,5.0,1.0,2.0,0.0,0.0,1120060800.0,25000.0,0.0,25000.0,12500.0
69.0,965232000.0,946656000.0,9.0,40.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,972921600.0,590000.0,0.0,590000.0,398250.0
7.0,1091980800.0,1072886400.0,42.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1109520000.0,35000.0,0.0,35000.0,17500.0
19.0,1172592000.0,1167580800.0,59.0,1.0,1.0,4.0,4.0,0.0,1.0,0.0,0.0,1175270400.0,25000.0,0.0,25000.0,21250.0
70.0,789321600.0,788889600.0,240.0,11.0,1.0,6.0,5.0,1.0,0.0,0.0,0.0,795196800.0,179000.0,0.0,179000.0,179000.0
7.0,1136995200.0,1136044800.0,90.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1141056000.0,15000.0,0.0,15000.0,7500.0
71.0,953827200.0,946656000.0,240.0,100.0,1.0,100.0,0.0,1.0,1.0,0.0,0.0,1000396800.0,1000000.0,0.0,1000000.0,1000000.0
18.0,1125244800.0,1104508800.0,28.0,52.0,1.0,10.0,52.0,0.0,1.0,1.0,0.0,1151596800.0,343281.0,0.0,125000.0,62500.0
2.0,1168272000.0,1167580800.0,64.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1170172800.0,82000.0,0.0,45000.0,22500.0
6.0,1175011200.0,1167580800.0,84.0,12.0,2.0,0.0,12.0,0.0,1.0,1.0,0.0,1175270400.0,64321.0,0.0,40000.0,20000.0
72.0,1033920000.0,1041350400.0,300.0,10.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1035993600.0,425000.0,0.0,425000.0,318750.0
44.0,735840000.0,725817600.0,126.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,744048000.0,155000.0,0.0,155000.0,124000.0
73.0,803059200.0,788889600.0,120.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,807120000.0,99000.0,0.0,99000.0,89100.0
2.0,1104076800.0,1104508800.0,83.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1107100800.0,12000.0,0.0,12000.0,6000.0
74.0,1136476800.0,1136044800.0,66.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1138636800.0,16792.0,0.0,10000.0,5000.0
27.0,1088697600.0,1072886400.0,29.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1093881600.0,19981.0,0.0,5000.0,2500.0
2.0,1146585600.0,1136044800.0,22.0,6.0,1.0,0.0,6.0,0.0,1.0,1.0,0.0,1149004800.0,160928.0,0.0,100000.0,50000.0
75.0,1099238400.0,1104508800.0,34.0,22.0,2.0,0.0,22.0,1.0,2.0,1.0,0.0,1107100800.0,175000.0,0.0,175000.0,87500.0
76.0,1145548800.0,1136044800.0,60.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1146326400.0,42300.0,0.0,42300.0,21150.0
6.0,1158854400.0,1136044800.0,31.0,5.0,2.0,0.0,5.0,0.0,1.0,1.0,0.0,1172592000.0,133364.0,0.0,50000.0,25000.0
5.0,937497600.0,915120000.0,84.0,7.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,941299200.0,49818.0,0.0,50000.0,40000.0
11.0,908294400.0,915120000.0,60.0,17.0,1.0,0.0,17.0,1.0,0.0,1.0,0.0,912355200.0,100000.0,0.0,100000.0,50000.0
7.0,1161187200.0,1167580800.0,60.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1162224000.0,40000.0,0.0,40000.0,20000.0
5.0,778089600.0,757353600.0,300.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,783532800.0,398000.0,0.0,398000.0,298500.0
18.0,1142438400.0,1136044800.0,36.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1146326400.0,57391.0,0.0,30000.0,15000.0
77.0,728841600.0,725817600.0,309.0,9.0,2.0,0.0,0.0,67750.0,0.0,0.0,0.0,759945600.0,1100000.0,0.0,1100000.0,749980.0
27.0,1047484800.0,1041350400.0,84.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1051632000.0,8579.0,0.0,5000.0,2500.0
2.0,1004025600.0,1009814400.0,9.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,0.0,1009728000.0,90088.0,0.0,62100.0,31050.0
78.0,1251907200.0,1230739200.0,84.0,2.0,2.0,16.0,2.0,900.0,1.0,0.0,0.0,1270051200.0,570000.0,0.0,570000.0,513000.0
27.0,1062086400.0,1041350400.0,84.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1138636800.0,35000.0,0.0,35000.0,17500.0
18.0,1163692800.0,1167580800.0,65.0,6.0,1.0,2.0,6.0,1.0,2.0,1.0,0.0,1164816000.0,78299.0,0.0,50000.0,25000.0
11.0,1198598400.0,1199116800.0,85.0,2.0,2.0,2.0,4.0,0.0,1.0,0.0,0.0,1201708800.0,215700.0,0.0,215700.0,161775.0
18.0,1207670400.0,1199116800.0,69.0,11.0,1.0,5.0,16.0,0.0,1.0,1.0,0.0,1209484800.0,78755.0,0.0,38000.0,19000.0
79.0,1150128000.0,1136044800.0,60.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1159545600.0,150000.0,0.0,150000.0,127500.0
59.0,1184515200.0,1167580800.0,54.0,6.0,2.0,4.0,2.0,0.0,1.0,1.0,0.0,1185811200.0,20000.0,0.0,20000.0,10000.0
27.0,969465600.0,946656000.0,60.0,15.0,1.0,0.0,15.0,1.0,1.0,1.0,0.0,1101744000.0,50000.0,0.0,50000.0,25000.0
59.0,879264000.0,883584000.0,37.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,886176000.0,25213.0,0.0,30000.0,24000.0
11.0,1156348800.0,1136044800.0,74.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,1183132800.0,62178.0,0.0,80000.0,40000.0
80.0,721584000.0,725817600.0,84.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,728409600.0,100000.0,0.0,100000.0,90000.0
18.0,1197820800.0,1199116800.0,62.0,6.0,2.0,0.0,6.0,0.0,1.0,1.0,0.0,1199030400.0,46180.0,0.0,25000.0,12500.0
2.0,989424000.0,978278400.0,48.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,993830400.0,70208.0,0.0,50000.0,25000.0
6.0,1216915200.0,1199116800.0,84.0,4.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,1217433600.0,39376.0,0.0,20000.0,10000.0
6.0,1090166400.0,1072886400.0,23.0,4.0,1.0,3.0,7.0,1.0,1.0,0.0,0.0,1091203200.0,10000.0,0.0,10000.0,5000.0
